input,target_url,topic,audience,impressions,clicks,ctr
what is als and how do you get it,https://www.cdc.gov/als/abouttheregistrymain/about-amyotrophic-lateral-sclerosis-als.html,Amyotrophic Lateral Sclerosis (ALS),,2200,1,0
lima este: residentes alarmados por inusual tormenta nocturna con relámpagos,https://www.cdc.gov/spanish/nceh/especiales/tormentaselectricas/index.html,Extreme Weather Conditions,,2066,20,1
marihuana: estudio confirma graves secuelas psiquiátricas por uso durante la juventud,https://www.cdc.gov/cannabis/es/health-effects/el-cannabis-y-la-salud-del-cerebro.html,Cannabis and Public Health,,2065,7,0
rosabella moringa powder linked to drug-resistant salmonella outbreak across seven states,https://www.cdc.gov/salmonella/outbreaks/moringacapsules-02-26/index.html,Salmonella Infection,,2065,55,3
is it happy new year or happy new years,https://www.cdc.gov/nceh/clearwriting/writing-tips/pdfs/2024/writing-tip-wed-01-03-2024-h.pdf,Clear Communication Index,,2062,6,0
what was james van der beek diagnosed with? list common symptoms of colorectal cancer,https://www.cdc.gov/colorectal-cancer/symptoms/index.html,Colorectal (Colon) Cancer,,2045,39,2
candida auris cases surged since 2019 across 27 us states,https://www.cdc.gov/candida-auris/tracking-c-auris/index.html,Candida auris infection,,1998,53,3
one of two major veins that carry blood to the heart,https://www.cdc.gov/heart-defects/how-the-heart-works/index.html,Congenital Heart Defects,,1993,1,0
cdc issued level two travel alert for seychelles islands,https://wwwnc.cdc.gov/travel/destinations/traveler/none/seychelles,Travelers' Health,,1990,3,0
maine cdc confirms state's first adult measles case since 2019,https://www.cdc.gov/measles/data-research/index.html,Measles,,1794,4,0
how many people have died from the flu this year,https://www.cdc.gov/fluview/surveillance/2025-week-47.html,Influenza,,1763,3,0
us cdc issued level 2 travel warning for the seychelles,https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-seychelles,Travelers' Health,,1709,153,9
show first-line treatment alternatives tmvii site:jamanetwork.com | site:nejm.org | site:aafp.org | site:aap.org | site:cancer.gov | site:cdc.gov | site:fda.gov | site:hhs.gov | site:accessdata.fda.gov | site:ascopubs.org | site:statnews.com | site:clinicaltrialsregister.eu | site:clinicaltrials.gov | site:isrctn.com | site:reuters.com,https://wwwnc.cdc.gov/eid/article/30/4/24-0115_article,Emerging Infectious Diseases Journal,,1693,0,0
show first-line treatment alternatives tmvii site:jamanetwork.com | site:nejm.org | site:aafp.org | site:aap.org | site:cancer.gov | site:cdc.gov | site:fda.gov | site:hhs.gov | site:accessdata.fda.gov | site:ascopubs.org | site:statnews.com | site:clinicaltrialsregister.eu | site:clinicaltrials.gov | site:isrctn.com | site:reuters.com,https://wwwnc.cdc.gov/eid/article/29/7/23-0025_article,Emerging Infectious Diseases Journal,,1693,0,0
show first-line treatment alternatives tmvii site:jamanetwork.com | site:nejm.org | site:aafp.org | site:aap.org | site:cancer.gov | site:cdc.gov | site:fda.gov | site:hhs.gov | site:accessdata.fda.gov | site:ascopubs.org | site:statnews.com | site:clinicaltrialsregister.eu | site:clinicaltrials.gov | site:isrctn.com | site:reuters.com,https://wwwnc.cdc.gov/eid/content/29/7/pdfs/v29-n7.pdf,Emerging Infectious Diseases Journal,,1692,0,0
multiple products recalled in january due to potential salmonella contamination,https://www.cdc.gov/salmonella/outbreaks/supergreenssupplementpowders-1-26/investigation.html,Salmonella Infection,,1583,4,0
cdc issued health alert as screwworm outbreak moves closer to us border,https://www.cdc.gov/han/php/notices/han00526.html,New World Screwworm,,1578,18,1
manjit sangha lost her limbs due to sepsis from a dog lick,https://www.cdc.gov/capnocytophaga/about/index.html,Capnocytophaga infection,,1576,12,1
dollar tree failed to remove recalled lead-contaminated applesauce causing harm,https://www.cdc.gov/lead-prevention/news/outbreak-applesauce-pouches.html,Lead Poisoning Prevention,,1562,24,2
cdc issued a health advisory regarding flesh-eating flies approaching the us border,https://www.cdc.gov/han/php/notices/han00526.html,New World Screwworm,,1561,27,2
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1541,17,1
multiple food products recalled due to foreign materials and bacteria contamination,https://www.cdc.gov/salmonella/outbreaks/supergreenssupplementpowders-1-26/investigation.html,Salmonella Infection,,1488,11,1
cdc issued health alert as screwworm outbreak moves closer to us border,https://www.cdc.gov/new-world-screwworm/situation-summary/index.html,New World Screwworm,,1469,17,1
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1423,8,1
cdc issued level 2 chikungunya virus travel alerts for bolivia and seychelles,https://wwwnc.cdc.gov/travel/notices,Travelers' Health,,1396,11,1
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1387,10,1
cdc issued level 2 chikungunya virus travel alerts for bolivia and seychelles,https://wwwnc.cdc.gov/travel/notices/level2/chikungunya-seychelles,Travelers' Health,,1384,24,2
multiple products recalled in january due to potential salmonella contamination,https://www.cdc.gov/salmonella/outbreaks/supergreenssupplementpowders-1-26/index.html,Salmonella Infection,,1375,8,1
"samuel boyce, pe, pmp ""respira therapeutics, inc."" phone fax",https://wwwnc.cdc.gov/eid/content/27/7/pdfs/v27-n7.pdf,Emerging Infectious Diseases Journal,,1329,0,0
how many vaccines do children get in the us,https://www.cdc.gov/vaccines/by-age/index.html,Vaccine-Preventable Diseases and Specific Vaccines,,1325,120,9
what one drink a day does to your health,https://www.cdc.gov/alcohol/about-alcohol-use/moderate-alcohol-use.html,Alcohol Use,,1320,35,3
how many vaccines do children get in the us,https://www.cdc.gov/vaccines/by-age/index.html,Vaccine-Preventable Diseases and Specific Vaccines,,1301,143,11
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1287,8,1
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1268,7,1
"samuel boyce, pe, pmp ""respira therapeutics, inc."" phone fax",https://wwwnc.cdc.gov/eid/content/27/7/pdfs/v27-n7.pdf,Emerging Infectious Diseases Journal,,1221,0,0
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1215,6,0
explain two health benefits of participating in physical activity,https://www.cdc.gov/physical-activity-basics/benefits/index.html,Physical Activity,,1191,9,1
us cdc issued level 2 travel warning for the seychelles,https://wwwnc.cdc.gov/travel/destinations/traveler/none/seychelles,Travelers' Health,,1177,5,0
is it safe to travel to aruba right now,https://wwwnc.cdc.gov/travel/destinations/traveler/none/aruba,Travelers' Health,,1171,2,0
"vírus: especialistas alertam para h5n1, mpox e oropouche como ameaças em 2026",https://www.cdc.gov/bird-flu/situation-summary/index.html,Avian Influenza,,1157,1,0
superfoods inc. is recalling super greens products nationwide over salmonella concerns,https://www.cdc.gov/salmonella/outbreaks/supergreenssupplementpowders-1-26/index.html,Salmonella Infection,,1138,1,0
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1135,6,1
when was james van der beek diagnosed with cancer? what are the symptoms of colorectal cancer,https://www.cdc.gov/colorectal-cancer/symptoms/index.html,Colorectal (Colon) Cancer,,1121,14,1
how to get rid of a sinus infection in 24 hours,https://www.cdc.gov/sinus-infection/about/index.html,Sinus Infection,,1098,5,0
how to deal with jet lag after a trip,https://wwwnc.cdc.gov/travel/page/jet-lag,Travelers' Health,,1094,0,0
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1093,10,1
how to deal with jet lag after a trip,https://wwwnc.cdc.gov/travel/page/jet-lag,Travelers' Health,,1090,0,0
"vírus: especialistas alertam para h5n1, mpox e oropouche como ameaças em 2026",https://www.cdc.gov/monkeypox/situation-summary/index.html,Monkeypox,,1081,1,0
"santiago lorente gual ""digital workers - the remote era"" phone fax",https://www.atsdr.cdc.gov/place-health/media/files/2026/01/svi-pub-data.csv,Social Vulnerability Index,,1068,0,0
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1064,6,1
rat lungworm parasite discovered in san diego county wildlife,https://wwwnc.cdc.gov/eid/article/32/2/25-1081_article,Rat Lungworm Disease,,1054,6,1
"santiago lorente gual ""digital workers - the remote era"" phone fax",https://www.atsdr.cdc.gov/place-health/media/files/2026/01/svi-pub-data.csv,Social Vulnerability Index,,1034,0,0
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,1015,5,0
how long is food good in fridge without power,https://www.cdc.gov/foodsafety/pdfs/eat_safe-r5-infographic2-h.pdf,Food Safety,,1003,6,1
"santiago lorente gual ""digital workers - the remote era"" phone fax",https://www.atsdr.cdc.gov/place-health/media/files/2026/01/svi-pub-data.csv,Social Vulnerability Index,,995,0,0
fda warns raw farm cheddar cheese linked to e. coli outbreak,https://www.cdc.gov/ecoli/outbreaks/rawcheese-03-26/index.html,E. coli Infection,,993,2,0
manjit sangha lost all limbs to sepsis after a dog lick,https://www.cdc.gov/capnocytophaga/about/index.html,Capnocytophaga infection,,991,14,1
i was around someone with the flu will i get it,https://www.cdc.gov/flu/spread/index.html,Influenza,,977,6,1
"santiago lorente gual ""digital workers - the remote era"" phone fax",https://www.atsdr.cdc.gov/place-health/media/files/2026/01/svi-pub-data.csv,Social Vulnerability Index,,976,0,0
"vírus: especialistas alertam para h5n1, mpox e oropouche como ameaças em 2026",https://www.cdc.gov/oropouche/prevention/index.html,Oropouche Virus,,961,1,0
how to deal with jet lag after a trip,https://wwwnc.cdc.gov/travel/page/jet-lag,Travelers' Health,,960,0,0
how to get rid of a sinus infection in 24 hours,https://www.cdc.gov/sinus-infection/about/index.html,Sinus Infection,,952,3,0
"santiago lorente gual ""digital workers - the remote era"" phone fax",https://www.atsdr.cdc.gov/place-health/media/files/2026/01/svi-pub-data.csv,Social Vulnerability Index,,951,0,0
is it happy new year or happy new year's,https://www.cdc.gov/nceh/clearwriting/writing-tips/pdfs/2024/writing-tip-wed-01-03-2024-h.pdf,Clear Communication Index,,950,2,0
"santiago lorente gual ""digital workers - the remote era"" phone fax",https://www.atsdr.cdc.gov/place-health/media/files/2026/01/svi-pub-data.csv,Social Vulnerability Index,,949,0,0
how to deal with jet lag after a trip,https://wwwnc.cdc.gov/travel/page/jet-lag,Travelers' Health,,926,0,0
